FID,GlobalID,DESCRIPTIO,LUC_CODE,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
101,{2247A086-D353-4DCB-99E9-52D0568F5DE4},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,111703.625249,3167.30805311,282548.515625,5037.72578983764
102,{E25E9758-D582-44DB-9084-52FCFB3734E5},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,20825.4334839,790.4622526,52668.2734375,1257.04629515562
103,{DACAB715-DCFE-4DAE-ACAB-538F616268EB},PUBLIC USE DISTRICT,PD,694.211393875,110.424786664,1756.6484375,175.622306671723
104,{63A0E2A0-2D5B-4F41-8F48-5393CF008F9B},PUBLIC USE DISTRICT,PD,46048.1853471,1487.81354978,116571.3671875,2367.70566859323
105,{4277150E-7462-4CC6-BAC5-53C8AAAE92FF},ENVIRONMENTAL DISTRICT,ED,14539.8459378,1045.20869343,36747.6640625,1660.95734255845
106,{5D97E3C0-3CE4-43CF-9C29-540BCDB276DE},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,4757.55628402,340.561064194,12036.875,541.818221181905
107,{977894C0-E560-447E-8621-5486F6781BFB},ENVIRONMENTAL DISTRICT,ED,6125.08221096,483.636059456,15485.875,768.504465860702
108,{28522502-7A3F-4828-A1C8-566684FA17A5},VAN HORNE DIRECT CONTROL DISTRICT,DC2020-14,12862.2961901,514.924880231,32533.6015625,818.970480403597
109,{8F9B0735-2F60-40AB-BB3D-56DEE084AE8F},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS DISTRICT – STEWART CREEK,R1B-SC,4423.85577176,289.234202539,11177.5546875,459.819863037891
110,{4DBF8FA3-AFA0-45A4-B533-5776FD4B3125},MULTIPLEX DISTRICT,DC-23(Z)2010,20838.4147205,1128.70319517,52741.5078125,1796.06667079123
111,{D7AF955E-CF5B-4666-9C6A-57A2ED6A7FA3},SILVERTIP GOLF COURSE DIRECT CONTROL DISTRICT,DC-20(Z)93,7809.47722449,434.675612867,19779.2109375,691.382635308849
112,{8038094D-CA2B-4D3A-9A05-5AD3B3363924},PALLISER MOUSTACHE RENTAL APARTMENT DIRECT CONTROL DISTRICT,DC-2016-23,17039.2722197,518.278378529,43138.984375,824.76293038204
113,{1E532969-0035-44B3-8D6F-5B34688272F9},PEAKS LANDING DIRECT CONTROL DISTRICT,DC-2018-14,3474.76398518,256.799254025,8788.4921875,408.342117850227
114,{C808FE43-0B51-4A08-BF24-5B3CD907527E},PUBLIC USE DISTRICT,PD,21140.2542191,1025.62082925,53423.0234375,1630.235559746
115,{335D74AF-5304-465E-B59B-5B6221895553},ENVIRONMENTAL DISTRICT,ED,9304.22868261,699.42150853,23549.875,1112.78348578542
116,{D08B3DF1-8510-4CC5-912F-5C0BE7E47D47},PUBLIC USE DISTRICT,PD,18730.7021043,1632.53084249,47377.734375,2597.12396384188
117,{538F1772-7E6D-4009-AB46-5C6E8DF55F0E},ENVIRONMENTAL DISTRICT,ED,171950.452842,5708.1878921,435092.265625,9081.88256993987
118,{CF6C3629-D81C-4A72-A480-5CFF9AA18651},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,9866.39773013,481.299452284,24973.1171875,766.189252091257
119,{973BEF93-28AA-4F58-A783-5EEC89ACC8D5},FUTURE DEVELOPMENT DISTRICT,FD,44682.7757255,1119.58154374,113051.8671875,1781.7510242759
120,{148FAC23-2232-4FF9-A7B1-5F2895108443},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,11673.4353099,495.579108795,29541.8125,788.39265234893
121,{70749F87-CD43-4BAD-A754-5F4A65A67360},PUBLIC USE DISTRICT,PD,38542.4756929,752.021090609,97537.6015625,1195.97655111001
122,{6AB014E9-54DB-4B46-937D-5FBEB9F6EDB3},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,5853.98979026,316.341937274,14815.421875,503.205612850338
123,{F921D4C3-AE85-48B2-A25C-608CDC610FFC},ENVIRONMENTAL DISTRICT,ED,46882.1892729,2156.54452591,118643.4375,3431.88215907353
124,{61C967E3-C3AC-40AF-89FE-60FD72EDA0F0},STEWART CREEK GOLF COURSE RESORT ACCOMODATION COMPREHENSIVE DIRECT CONTROL DISTRICT,DC-23(Z)2013,20009.998289,746.249902357,50556.1796875,1186.5698494118
125,{C791736B-A7B3-435F-B719-619F96E079F1},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,51368.3836421,972.275760368,130075.109375,1547.74466560181
126,{984AD8C6-4138-4B20-9B42-61AB167B93D6},SILVERTIP TRAIL DIRECT CONTROL DISTRICT,DC-09-99-Silvertip,60687.3454841,1026.52209721,153637.3984375,1632.8478772803
127,{C475CA05-070D-4CEC-BDF2-62B928FDA09A},COAST APARTMENT DIRECT CONTROL DISTRICT,DC-2015-25,6287.12930452,363.0932159,15912.46875,577.559740676228
128,{9D1A8AF2-5B8B-422E-80EE-62D49EEC178D},FUTURE DEVELOPMENT DISTRICT,FD,399187.986234,5382.68133579,1009866.296875,8563.02823249962
129,{E236FD6D-B3AE-4119-8B2B-62D8A31AD8A2},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,13955.7409836,511.590086358,35321.90625,813.805031730344
130,{E7763EAA-D3A8-45D5-8A10-63FDFD976EBB},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,2571.18688192,203.336003985,6502.9921875,323.326875383812
131,{7FBA4AB5-3385-4F9D-82AE-64383B5CFD26},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,10132.6446638,561.646290574,25659.703125,893.679460249315
132,{3AE7FA97-D574-42DA-B7FC-64FDE9B11938},PUBLIC USE DISTRICT,PD,1596.71781415,175.301348878,4040.5234375,278.857990425629
133,{980DE2D3-32ED-44C2-B215-65C4C23AA5D7},LOCAL COMMERCIAL DISTRICT,CC,5196.54276938,290.564282234,13133.9296875,461.815210379778
134,{F8A2D40E-05D3-4BF2-910E-685AF62B4595},NATURAL PARK DISTRICT,NP,1023559.00554,5796.09528721,2589190.0390625,9213.34172286422
135,{6F8E585F-0CBE-4F15-8A0B-695C70F38163},PUBLIC USE DISTRICT,PD,4413.65504837,323.095319129,11171.71875,513.637656710282
136,{E528D297-A4ED-4B4A-8B35-69CA29821552},THREE SISTERS RESORTS DIRECT CONTROL DISTRICT SITE 7,DC-1(Z)98 Site 7,972902.741766,5876.23100898,2457329.984375,9338.4325729687
137,{8AC459C5-AFE2-48FE-BB07-69DE3CFE2566},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,20526.7996853,865.886231763,51881.3125,1376.57495714296
138,{D230364D-A33E-4D58-BCCE-6A2EE278DCC3},FUTURE DEVELOPMENT DISTRICT,FD,549983.64326,4783.19248777,1392913.1015625,7613.3612363432
139,{3976A1C1-2B33-407F-9BC6-6A47DED4DDEA},PUBLIC USE DISTRICT,PD,42102.1659933,3238.15028453,106479.0703125,5149.74970250244
140,{FEAEE8C2-B6D7-4F0B-8750-6B2E525CF76A},SILVERTIP RESIDENTIAL SINGLE FAMILY AND TWO UNIT DISTRICT,STR-1,73322.6986696,1356.32322844,185642.734375,2159.11650542365
141,{9A4857EA-57E3-4046-A518-6BB8EFE1C549},PUBLIC USE DISTRICT,PD,445.936111127,177.902636505,1127.1015625,282.932614225229
142,{CA01786F-8953-41EE-A77C-6D1B0615AB5E},7TH STREET & 7TH AVENUE DIRECT CONTROL DISTRICT,DC-2016-28,3825.27299744,250.221527322,9681.84375,398.002926064537
143,{A273A30E-1894-4F4B-B9B2-6D7892F839FC},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,7119.83087194,383.098210612,18014.359375,609.068568660174
144,{569743C5-98D8-4344-8FC8-6DB85918D300},LOCAL COMMERCIAL DISTRICT,CC,9105.71411122,389.156836126,23045.71875,619.118695848707
145,{33CE5026-4A64-4398-8838-734B5229D67D},PALLISER PERPETUALLY AFFORDABLE HOUSING APARTMENT DIRECT CONTROL DISTRICT,DC-03(Z)2008,18454.4170654,643.167061897,46727.4765625,1022.88949031763
146,{51DC6DB8-522D-450F-A418-740B8953C413},ENVIRONMENTAL DISTRICT,ED,211514.736536,6336.67102437,535388.640625,10082.2392866563
147,{598571E2-163E-4B7E-8AA4-76A6CC1AB1A4},SEVENTH STREET DIRECT CONTROL DISTRICT,DC-09-99-Seventh,8983.52847844,447.349094742,22737.4765625,711.194703563999
148,{F076509D-CB9F-4E72-83A4-779509A50848},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,13851.1090846,915.951063566,35048.875,1458.25138038511
149,{CDC1772E-9D23-46E9-8DA6-7819DBDEC49E},PUBLIC USE DISTRICT,PD,7480.24226181,710.555413016,18928.40625,1130.15017443916
150,{3456B56C-0C1A-4B62-90DD-783EBE60C16D},PALLISER ATTAINABLE HOUSING APARTMENT DIRECT CONTROL DISTRICT,DC-04(Z)2009,10586.5416139,478.965412975,26806.4375,761.841730747122
151,{7F990F52-2AD5-4409-BA38-78DAC5FB9456},PUBLIC USE DISTRICT,PD,1253.86278632,167.749016696,3173.4453125,266.84661569255
152,{FF7F11BE-5FC8-4134-872C-7AD2BA9B04EA},THREE SISTERS RESORTS DIRECT CONTROL DISTRICT SITE 2A,DC-1(Z)98 Site 2A,127625.082833,1782.12559563,322488.15625,2833.63167657468
153,{8610C3F4-2139-475A-8C49-7D8428183C32},PUBLIC USE DISTRICT,PD,138853.75987,4070.76576737,351085.296875,6471.61361200528
154,{AA9A1DB4-1722-4A34-BBC2-7DFA7D3520DE},PUBLIC USE DISTRICT,PD,2668.31895904,214.222126285,6750.8125,340.717882164101
155,{2446BC02-9DA9-4690-8340-7EDE7F0DEDCD},PUBLIC USE DISTRICT,PD,23237.579844,1676.50192326,58740,2665.25935783975
156,{CBB3F82D-AFBC-4049-9A4A-7EFE77982930},MORAINE ROAD SINGLE FAMILY-DETACHED NARROW LOT RESIDENTIAL DISTRICT,R1NM,29422.1923855,878.447083599,74442.796875,1396.4111307752
157,{2DD7CD19-2C79-45F3-931C-7F1B494050C3},PUBLIC USE DISTRICT,PD,3666.45733327,272.587687547,9278.0546875,433.755482018391
158,{029ECECA-1D7C-4EF5-86EC-809A83A476FD},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,25381.5687515,789.364150352,64198.8046875,1255.73813155904
159,{F8FA78F2-3DCC-47B9-97C0-80F00B61B927},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,64580.7564829,1792.40323852,163535.078125,2851.68916607095
160,{B985908A-A6AE-44B7-A0D9-822CE72813F6},PUBLIC USE DISTRICT,PD,52790.2949175,1083.48331676,133636.5,1724.73947616506
161,{3E980BEF-120C-41CF-A39C-836D03992027},LIGHT INDUSTRIAL DISTRICT,IND 1,6704.82408057,373.90157303,16963.4765625,594.925696916168
162,{AE386005-ED7A-4577-9C84-83E805D775E1},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS DISTRICT,R1B,33017.6272111,1039.6366977,83542.9453125,1652.95549055854
163,{1E242D35-9977-4A60-B1B9-8410480D46B8},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,234975.528878,3371.7780838,594640.1328125,5363.6170972219
164,{0980E44E-739B-4149-B301-8508D95A8777},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,37708.5891114,921.643235609,95503.765625,1465.84777706543
165,{9250079D-7147-4BBD-B515-8533DB7B3214},PUBLIC USE DISTRICT,PD,361.567139293,99.5557102835,914.953125,158.320175575209
166,{1E383D24-6774-45B4-A8EE-85F2D27D2E32},ENVIRONMENTAL DISTRICT,ED,68332.250829,2965.44662457,172991.359375,4718.99858521942
167,{2A4A7081-072F-4EE9-AB9A-8677411DDBD7},PEAKS LANDING DIRECT CONTROL DISTRICT,DC-2018-14,2690.8101019,213.082803222,6805.609375,338.814533499052
168,{45DF3CF2-B625-43C0-A58B-8728CD54F73A},LIGHT INDUSTRIAL DISTRICT,IND 1,37060.9857653,1052.11608841,93758.75,1674.23091926742
169,{6E52C2CC-F686-4E12-BB31-879A399B0BDB},RESIDENTIAL MEDIUM DENSITY DISTRICT,R4,3769.80312473,258.529918882,9533.484375,411.016564692106
170,{9CAEF632-DA5A-4790-A64A-8D8F3BCB82C8},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,11628.1264194,496.62943167,29432.421875,790.228364724638
171,{D9446F60-E2A1-4474-AF80-8DAA11A197AC},FUTURE DEVELOPMENT DISTRICT,FD,52284.7193455,1277.8770199,132168.2265625,2032.52353044133
172,{9BC94B03-69E8-4800-B427-8DD190B3926C},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,1999.50047761,184.744895105,5059.359375,293.816436341676
173,{C33FD055-F9EE-460C-84FF-8E3228D2C802},BRIDGE ROAD TOWNHOUSE DIRECT CONTROL DISTRICT,DC-26(Z)86,2405.47719662,200.41104312,6087.6875,318.926469760465
174,{62A388B8-FA92-4015-B067-8F71CACC71B5},PUBLIC USE DISTRICT,PD,319.503618946,83.9180108433,808.515625,133.400724577321
175,{F876EE9C-2893-42F5-A023-914C9306DDB0},SPRING CREEK MOUNTAIN VILLAGE COMPREHENSIVE RESIDENTIAL DIRECT CONTROL DISTRICT,DC-SCMV-CR,6687.23206094,343.205745149,16923.828125,545.92536362426
176,{F0ECB6C9-7887-4F14-9DDA-91ACB32565AB},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS WIDE LOT DISTRICT,R1B-W,21700.8706884,687.335023611,54884.8046875,1092.73485603782
177,{B1D27A79-F885-4697-9F13-92243B5294DE},PUBLIC USE DISTRICT,PD,296.140626945,79.2304161901,749.4921875,126.000743366917
178,{61697D88-946D-4AEB-B093-92774A96D383},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,70660.6439273,1420.52832742,178953.171875,2260.42818306918
179,{302881DF-886E-4F81-B966-934A04B7EDB1},ENVIRONMENTAL DISTRICT,ED,41.8741017635,41.5768532665,105.953125,66.0581242879447
180,{B0BCF999-2573-4267-93ED-93F77D1CF02C},ENVIRONMENTAL DISTRICT,ED,45124.4964101,1432.94799113,114253.5625,2280.31842315009
181,{3D48B480-CCB6-4895-99D8-968F54098F78},FUTURE DEVELOPMENT DISTRICT,FD,978829.932488,12449.8400137,2477776.421875,19807.8855586006
182,{00723D2A-2E1E-421F-BA56-96E24EE3153D},THREE SISTERS RESORTS DIRECT CONTROL DISTRICT SITE 2B,DC-1(Z)98 Site 2B,5332.78107765,348.444206319,13473.5078125,554.021937913253
183,{17E45259-BC3E-48A7-8F4E-978C2F948B81},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,56574.0672215,1431.44862967,143151.8671875,2277.00352423404
184,{464EBEFA-837C-4DF5-8236-981D21BE671F},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,252707.804225,3984.11603503,639492.578125,6337.75058647072
185,{A95A6E82-3C59-49FB-8114-99AE2DEAEE3B},RESIDENTIAL APARTMENT DISTRICT,R5,8118.84705911,391.594664052,20543.9140625,622.936223576272
186,{400E5A6A-B8D9-47DE-9257-9A2712C57927},THREE SISTERS RESORTS DIRECT CONTROL DISTRICT SITE 1,DC-1(Z)98 Site 1,228944.136338,2603.83157472,578897.140625,4139.50109022095
187,{0AC22D33-79CA-4D0D-83CF-9AFE7BBFF19B},PUBLIC USE DISTRICT,PD,10943.9029651,591.586797266,27715.6640625,941.351779743417
188,{DAB4FC94-061E-4357-AE37-9BB2400D088E},RESIDENTIAL SINGLE-FAMILY DETACHED DIRECT CONTROL DISTRICT,DC-18(Z)2009,1229.12664075,141.584168043,3111.921875,225.326265378785
189,{BA807FBD-54BD-4889-B93A-9CCB450A750D},PUBLIC USE DISTRICT,PD,7170.64145759,433.676117563,18151.9140625,689.921104602413
190,{B0CF3790-9E05-4A54-B502-9D824F131027},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,5906.07509318,327.163186082,14947.421875,520.465047399527
191,{0F9F5ADC-C00D-4E64-B622-9DC60D001377},PUBLIC USE DISTRICT,PD,37889.1668901,1655.8803121,95867.328125,2634.78861895364
192,{EA8A51FD-D18A-485B-A50D-9EFCF6FD320F},PUBLIC USE DISTRICT,PD,25269.5079049,746.848498334,63977.4921875,1187.96358556605
193,{C6317133-47B8-4351-BFE2-9FBA57647E8A},PUBLIC USE DISTRICT,PD,74030.2527543,1097.9941776,187401.34375,1746.83268443756
194,{2FA6741F-1B53-4E6E-BCF5-A00EFF2760DD},PUBLIC USE DISTRICT,PD,325.992477458,140.392755292,824.5,223.117037229131
195,{A3243407-3610-438C-B774-A0A242B36672},PUBLIC USE DISTRICT,PD,579.164606669,108.131041102,1465.6171875,171.938000856118
196,{2DC40398-B854-48E6-92FA-A0E25ED49FE2},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,6200.55231721,365.884949707,15695.5234375,582.299364193147
197,{7496DEB6-8634-45B5-89C0-A29EC0865109},PUBLIC USE DISTRICT,PD,4346.368644,297.15765983,10998.9140625,472.943292944003
198,{4AD1AA57-E92F-4508-A6B6-A31E055BF060},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,24384.8265414,746.141404719,61726.9609375,1187.20537566246
199,{5A9BB8EC-FEA0-4461-8BE2-A3531BFE896D},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,12382.4940249,649.35493174,31317.2421875,1032.61889953087
200,{0ADAE2A2-5320-40B4-BB42-A3F370EF1045},THREE SISTERS RESORTS DIRECT CONTROL DISTRICT SITE 1A,DC-1(Z)98 Site 1A,70583.8921962,1351.32181229,178476.1484375,2149.08190458746
201,{45D50166-F0AA-456C-8E86-A4929CF8B923},THREE SISTERS RESORT ACCOMODATION DISTRICT,TS-RA1,178486.708107,1770.76874449,451198.390625,2814.8466679958
